2025-12-11 00:10:30,387 | INFO | BotTrainer | name        | s_normalize | s_total_pro | s_win_rate  | s_num_trade | s_max_drawd | s_max_winni | p_fast_peri | p_slow_peri | p_buffer_si | p_slope_thr | p_tp_pct    | p_sl_pct    | p_warmup_co
2025-12-11 00:10:30,391 | INFO | BotTrainer | Bot_210     | 0.45        | -120.64     | 0.45        | 76.00       | 25.73       | 10.00       | 21.00       | 150.00      | 2.00        | 0.00        | 1.50        | 1.50        | 150.00     
2025-12-11 00:10:30,391 | INFO | BotTrainer | Bot_214     | 0.45        | -120.44     | 0.45        | 74.00       | 25.71       | 10.00       | 21.00       | 150.00      | 2.00        | 0.50        | 1.50        | 1.50        | 150.00     
2025-12-11 00:10:30,392 | INFO | BotTrainer | Bot_194     | 0.44        | 52.33       | 0.53        | 80.00       | 10.88       | 8.00        | 21.00       | 100.00      | 2.00        | 0.00        | 1.50        | 1.50        | 100.00     
2025-12-11 00:10:30,392 | INFO | BotTrainer | Bot_284     | 0.43        | 246.61      | 0.67        | 27.00       | 7.72        | 7.00        | 50.00       | 150.00      | 2.00        | 1.00        | 2.00        | 1.50        | 150.00     
2025-12-11 00:10:30,392 | INFO | BotTrainer | Bot_202     | 0.43        | 38.64       | 0.52        | 63.00       | 10.60       | 8.00        | 21.00       | 100.00      | 2.00        | 1.00        | 1.50        | 1.50        | 100.00     
2025-12-11 00:10:30,393 | INFO | BotTrainer | Bot_140     | 0.43        | 19.96       | 0.44        | 68.00       | 20.46       | 9.00        | 14.00       | 150.00      | 2.00        | 1.00        | 2.00        | 1.50        | 150.00     
2025-12-11 00:10:30,393 | INFO | BotTrainer | Bot_122     | 0.43        | 21.45       | 0.51        | 78.00       | 16.92       | 8.00        | 14.00       | 100.00      | 2.00        | 1.00        | 1.50        | 1.50        | 100.00     
2025-12-11 00:10:30,393 | INFO | BotTrainer | Bot_118     | 0.42        | -38.69      | 0.49        | 84.00       | 14.84       | 8.00        | 14.00       | 100.00      | 2.00        | 0.50        | 1.50        | 1.50        | 100.00     
2025-12-11 00:10:30,394 | INFO | BotTrainer | Bot_110     | 0.42        | 38.18       | 0.52        | 67.00       | 16.61       | 8.00        | 14.00       | 75.00       | 2.00        | 2.00        | 1.50        | 1.50        | 75.00      
2025-12-11 00:10:30,394 | INFO | BotTrainer | Bot_138     | 0.42        | -120.05     | 0.44        | 70.00       | 26.02       | 9.00        | 14.00       | 150.00      | 2.00        | 1.00        | 1.50        | 1.50        | 150.00     
2025-12-11 00:10:30,394 | INFO | BotTrainer | Bot_114     | 0.42        | -67.31      | 0.48        | 86.00       | 17.42       | 8.00        | 14.00       | 100.00      | 2.00        | 0.00        | 1.50        | 1.50        | 100.00     
2025-12-11 00:10:30,395 | INFO | BotTrainer | Bot_61      | 0.42        | 55.03       | 0.43        | 84.00       | 11.16       | 8.00        | 8.00        | 150.00      | 2.00        | 2.00        | 1.50        | 1.00        | 150.00     
2025-12-11 00:10:30,395 | INFO | BotTrainer | Bot_62      | 0.42        | -22.73      | 0.49        | 71.00       | 16.01       | 8.00        | 8.00        | 150.00      | 2.00        | 2.00        | 1.50        | 1.50        | 150.00     
2025-12-11 00:10:30,395 | INFO | BotTrainer | Bot_58      | 0.41        | -94.26      | 0.46        | 80.00       | 23.40       | 8.00        | 8.00        | 150.00      | 2.00        | 1.00        | 1.50        | 1.50        | 150.00     
2025-12-11 00:10:30,396 | INFO | BotTrainer | Bot_130     | 0.41        | -94.06      | 0.46        | 78.00       | 22.25       | 8.00        | 14.00       | 150.00      | 2.00        | 0.00        | 1.50        | 1.50        | 150.00     
2025-12-11 00:10:30,396 | INFO | BotTrainer | Bot_54      | 0.41        | -107.85     | 0.46        | 81.00       | 24.57       | 8.00        | 8.00        | 150.00      | 2.00        | 0.50        | 1.50        | 1.50        | 150.00     
2025-12-11 00:10:30,397 | INFO | BotTrainer | Bot_50      | 0.41        | -107.85     | 0.46        | 81.00       | 24.57       | 8.00        | 8.00        | 150.00      | 2.00        | 0.00        | 1.50        | 1.50        | 150.00     
2025-12-11 00:10:30,397 | INFO | BotTrainer | Bot_258     | 0.41        | -121.03     | 0.45        | 80.00       | 24.61       | 8.00        | 50.00       | 100.00      | 2.00        | 0.00        | 1.50        | 1.50        | 100.00     
2025-12-11 00:10:30,397 | INFO | BotTrainer | Bot_18      | 0.40        | -211.23     | 0.43        | 109.00      | 32.50       | 8.00        | 8.00        | 75.00       | 2.00        | 0.00        | 1.50        | 1.50        | 75.00      
2025-12-11 00:10:30,398 | INFO | BotTrainer | Bot_120     | 0.40        | -40.88      | 0.42        | 79.00       | 20.44       | 8.00        | 14.00       | 100.00      | 2.00        | 0.50        | 2.00        | 1.50        | 100.00     
2025-12-11 00:10:30,398 | INFO | BotTrainer | Bot_22      | 0.40        | -223.06     | 0.43        | 110.00      | 33.53       | 8.00        | 8.00        | 75.00       | 2.00        | 0.50        | 1.50        | 1.50        | 75.00      
2025-12-11 00:10:30,398 | INFO | BotTrainer | Bot_116     | 0.40        | -69.44      | 0.41        | 81.00       | 22.87       | 8.00        | 14.00       | 100.00      | 2.00        | 0.00        | 2.00        | 1.50        | 100.00     
2025-12-11 00:10:30,399 | INFO | BotTrainer | Bot_124     | 0.40        | -39.88      | 0.42        | 72.00       | 20.72       | 8.00        | 14.00       | 100.00      | 2.00        | 1.00        | 2.00        | 1.50        | 100.00     
2025-12-11 00:10:30,399 | INFO | BotTrainer | Bot_298     | 0.40        | 123.71      | 0.63        | 30.00       | 4.52        | 6.00        | 50.00       | 200.00      | 2.00        | 1.00        | 1.50        | 1.50        | 200.00     
2025-12-11 00:10:30,400 | INFO | BotTrainer | Bot_90      | 0.40        | 49.72       | 0.52        | 102.00      | 12.31       | 6.00        | 14.00       | 50.00       | 2.00        | 1.00        | 1.50        | 1.50        | 50.00      
2025-12-11 00:10:30,401 | INFO | BotTrainer | Bot_20      | 0.39        | -168.52     | 0.38        | 100.00      | 32.75       | 8.00        | 8.00        | 75.00       | 2.00        | 0.00        | 2.00        | 1.50        | 75.00      
2025-12-11 00:10:30,402 | INFO | BotTrainer | Bot_82      | 0.39        | -137.33     | 0.46        | 113.00      | 24.89       | 7.00        | 14.00       | 50.00       | 2.00        | 0.00        | 1.50        | 1.50        | 50.00      
2025-12-11 00:10:30,402 | INFO | BotTrainer | Bot_24      | 0.39        | -180.99     | 0.38        | 101.00      | 33.79       | 8.00        | 8.00        | 75.00       | 2.00        | 0.50        | 2.00        | 1.50        | 75.00      
2025-12-11 00:10:30,403 | INFO | BotTrainer | Bot_246     | 0.39        | -36.95      | 0.49        | 68.00       | 14.71       | 7.00        | 50.00       | 75.00       | 2.00        | 0.50        | 1.50        | 1.50        | 75.00      
2025-12-11 00:10:30,403 | INFO | BotTrainer | Bot_164     | 0.39        | -43.89      | 0.42        | 100.00      | 19.84       | 7.00        | 21.00       | 50.00       | 2.00        | 0.00        | 2.00        | 1.50        | 50.00      
2025-12-11 00:10:30,404 | INFO | BotTrainer | Bot_89      | 0.38        | 270.83      | 0.48        | 130.00      | 6.96        | 5.00        | 14.00       | 50.00       | 2.00        | 1.00        | 1.50        | 1.00        | 50.00      
2025-12-11 00:10:30,405 | INFO | BotTrainer | Bot_85      | 0.38        | 109.80      | 0.43        | 141.00      | 12.14       | 6.00        | 14.00       | 50.00       | 2.00        | 0.50        | 1.50        | 1.00        | 50.00      
2025-12-11 00:10:30,405 | INFO | BotTrainer | Bot_283     | 0.38        | 278.76      | 0.62        | 29.00       | 3.18        | 5.00        | 50.00       | 150.00      | 2.00        | 1.00        | 2.00        | 1.00        | 150.00     
2025-12-11 00:10:30,406 | INFO | BotTrainer | Bot_86      | 0.38        | -69.82      | 0.48        | 110.00      | 17.87       | 6.00        | 14.00       | 50.00       | 2.00        | 0.50        | 1.50        | 1.50        | 50.00      
2025-12-11 00:10:30,406 | INFO | BotTrainer | Bot_162     | 0.38        | -222.71     | 0.42        | 106.00      | 31.45       | 7.00        | 21.00       | 50.00       | 2.00        | 0.00        | 1.50        | 1.50        | 50.00      
2025-12-11 00:10:30,407 | INFO | BotTrainer | Bot_14      | 0.38        | -11.41      | 0.50        | 102.00      | 22.03       | 6.00        | 8.00        | 50.00       | 2.00        | 2.00        | 1.50        | 1.50        | 50.00      
2025-12-11 00:10:30,408 | INFO | BotTrainer | Bot_29      | 0.38        | 53.85       | 0.42        | 99.00       | 11.18       | 6.00        | 8.00        | 75.00       | 2.00        | 2.00        | 1.50        | 1.00        | 75.00      
2025-12-11 00:10:30,408 | INFO | BotTrainer | Bot_278     | 0.37        | 154.29      | 0.59        | 58.00       | 9.17        | 5.00        | 50.00       | 150.00      | 2.00        | 0.50        | 1.50        | 1.50        | 150.00     
2025-12-11 00:10:30,409 | INFO | BotTrainer | Bot_281     | 0.37        | 170.51      | 0.62        | 29.00       | 3.63        | 5.00        | 50.00       | 150.00      | 2.00        | 1.00        | 1.50        | 1.00        | 150.00     
2025-12-11 00:10:30,410 | INFO | BotTrainer | Bot_134     | 0.37        | -159.05     | 0.42        | 73.00       | 25.71       | 7.00        | 14.00       | 150.00      | 2.00        | 0.50        | 1.50        | 1.50        | 150.00     
2025-12-11 00:10:30,410 | INFO | BotTrainer | Bot_8       | 0.37        | -160.68     | 0.38        | 104.00      | 31.99       | 7.00        | 8.00        | 50.00       | 2.00        | 0.50        | 2.00        | 1.50        | 50.00      
2025-12-11 00:10:30,411 | INFO | BotTrainer | Bot_4       | 0.37        | -160.68     | 0.38        | 104.00      | 31.99       | 7.00        | 8.00        | 50.00       | 2.00        | 0.00        | 2.00        | 1.50        | 50.00      
2025-12-11 00:10:30,411 | INFO | BotTrainer | Bot_126     | 0.37        | -77.57      | 0.45        | 51.00       | 21.39       | 7.00        | 14.00       | 100.00      | 2.00        | 2.00        | 1.50        | 1.50        | 100.00     
2025-12-11 00:10:30,412 | INFO | BotTrainer | Bot_136     | 0.37        | -72.82      | 0.40        | 72.00       | 23.00       | 7.00        | 14.00       | 150.00      | 2.00        | 0.50        | 2.00        | 1.50        | 150.00     
2025-12-11 00:10:30,412 | INFO | BotTrainer | Bot_84      | 0.37        | -180.99     | 0.38        | 101.00      | 32.75       | 7.00        | 14.00       | 50.00       | 2.00        | 0.00        | 2.00        | 1.50        | 50.00      
2025-12-11 00:10:30,413 | INFO | BotTrainer | Bot_30      | 0.37        | -81.30      | 0.47        | 87.00       | 21.71       | 6.00        | 8.00        | 75.00       | 2.00        | 2.00        | 1.50        | 1.50        | 75.00      
2025-12-11 00:10:30,413 | INFO | BotTrainer | Bot_217     | 0.36        | 13.46       | 0.41        | 88.00       | 12.45       | 6.00        | 21.00       | 150.00      | 2.00        | 1.00        | 1.50        | 1.00        | 150.00     
2025-12-11 00:10:30,414 | INFO | BotTrainer | Bot_139     | 0.36        | 117.80      | 0.38        | 81.00       | 12.13       | 6.00        | 14.00       | 150.00      | 2.00        | 1.00        | 2.00        | 1.00        | 150.00     
2025-12-11 00:10:30,414 | INFO | BotTrainer | Bot_92      | 0.36        | -28.31      | 0.42        | 92.00       | 18.20       | 6.00        | 14.00       | 50.00       | 2.00        | 1.00        | 2.00        | 1.50        | 50.00      
2025-12-11 00:10:30,415 | INFO | BotTrainer | Bot_230     | 0.36        | 70.52       | 0.54        | 61.00       | 7.70        | 5.00        | 21.00       | 200.00      | 2.00        | 0.50        | 1.50        | 1.50        | 200.00     
2025-12-11 00:10:30,415 | INFO | BotTrainer | Bot_232     | 0.36        | 163.11      | 0.51        | 57.00       | 6.44        | 5.00        | 21.00       | 200.00      | 2.00        | 0.50        | 2.00        | 1.50        | 200.00     
2025-12-11 00:10:30,416 | INFO | BotTrainer | Bot_112     | 0.36        | 174.07      | 0.51        | 61.00       | 10.72       | 5.00        | 14.00       | 75.00       | 2.00        | 2.00        | 2.00        | 1.50        | 75.00      
2025-12-11 00:10:30,417 | INFO | BotTrainer | Bot_137     | 0.36        | 8.95        | 0.41        | 81.00       | 13.23       | 6.00        | 14.00       | 150.00      | 2.00        | 1.00        | 1.50        | 1.00        | 150.00     
2025-12-11 00:10:30,418 | INFO | BotTrainer | Bot_286     | 0.36        | 44.74       | 0.64        | 11.00       | 3.04        | 5.00        | 50.00       | 150.00      | 2.00        | 2.00        | 1.50        | 1.50        | 150.00     
2025-12-11 00:10:30,418 | INFO | BotTrainer | Bot_31      | 0.36        | 233.78      | 0.42        | 89.00       | 12.32       | 5.00        | 8.00        | 75.00       | 2.00        | 2.00        | 2.00        | 1.00        | 75.00      
2025-12-11 00:10:30,419 | INFO | BotTrainer | Bot_78      | 0.36        | 171.87      | 0.60        | 57.00       | 3.39        | 4.00        | 8.00        | 200.00      | 2.00        | 2.00        | 1.50        | 1.50        | 200.00     
2025-12-11 00:10:30,420 | INFO | BotTrainer | Bot_109     | 0.36        | 29.82       | 0.42        | 74.00       | 16.52       | 6.00        | 14.00       | 75.00       | 2.00        | 2.00        | 1.50        | 1.00        | 75.00      
2025-12-11 00:10:30,420 | INFO | BotTrainer | Bot_262     | 0.36        | -93.45      | 0.46        | 72.00       | 21.25       | 6.00        | 50.00       | 100.00      | 2.00        | 0.50        | 1.50        | 1.50        | 100.00     
2025-12-11 00:10:30,421 | INFO | BotTrainer | Bot_88      | 0.36        | -108.38     | 0.40        | 100.00      | 23.93       | 6.00        | 14.00       | 50.00       | 2.00        | 0.50        | 2.00        | 1.50        | 50.00      
2025-12-11 00:10:30,422 | INFO | BotTrainer | Bot_10      | 0.36        | -56.72      | 0.49        | 119.00      | 16.95       | 5.00        | 8.00        | 50.00       | 2.00        | 1.00        | 1.50        | 1.50        | 50.00      
2025-12-11 00:10:30,424 | INFO | BotTrainer | Bot_128     | 0.36        | -74.26      | 0.39        | 49.00       | 21.79       | 7.00        | 14.00       | 100.00      | 2.00        | 2.00        | 2.00        | 1.50        | 100.00     
2025-12-11 00:10:30,424 | INFO | BotTrainer | Bot_300     | 0.35        | 127.91      | 0.55        | 29.00       | 4.91        | 5.00        | 50.00       | 200.00      | 2.00        | 1.00        | 2.00        | 1.50        | 200.00     
2025-12-11 00:10:30,425 | INFO | BotTrainer | Bot_6       | 0.35        | -28.21      | 0.50        | 121.00      | 21.89       | 5.00        | 8.00        | 50.00       | 2.00        | 0.50        | 1.50        | 1.50        | 50.00      
2025-12-11 00:10:30,426 | INFO | BotTrainer | Bot_93      | 0.35        | 213.53      | 0.50        | 80.00       | 6.40        | 4.00        | 14.00       | 50.00       | 2.00        | 2.00        | 1.50        | 1.00        | 50.00      
2025-12-11 00:10:30,426 | INFO | BotTrainer | Bot_2       | 0.35        | -57.14      | 0.49        | 123.00      | 23.09       | 5.00        | 8.00        | 50.00       | 2.00        | 0.00        | 1.50        | 1.50        | 50.00      
2025-12-11 00:10:30,427 | INFO | BotTrainer | Bot_79      | 0.35        | 326.07      | 0.48        | 64.00       | 4.32        | 4.00        | 8.00        | 200.00      | 2.00        | 2.00        | 2.00        | 1.00        | 200.00     
2025-12-11 00:10:30,428 | INFO | BotTrainer | Bot_77      | 0.35        | 214.43      | 0.51        | 70.00       | 5.17        | 4.00        | 8.00        | 200.00      | 2.00        | 2.00        | 1.50        | 1.00        | 200.00     
2025-12-11 00:10:30,428 | INFO | BotTrainer | Bot_148     | 0.35        | 100.02      | 0.48        | 63.00       | 13.38       | 5.00        | 14.00       | 200.00      | 2.00        | 0.00        | 2.00        | 1.50        | 200.00     
2025-12-11 00:10:30,429 | INFO | BotTrainer | Bot_226     | 0.35        | -7.17       | 0.50        | 64.00       | 11.96       | 5.00        | 21.00       | 200.00      | 2.00        | 0.00        | 1.50        | 1.50        | 200.00     
2025-12-11 00:10:30,429 | INFO | BotTrainer | Bot_156     | 0.34        | 89.75       | 0.47        | 59.00       | 11.17       | 5.00        | 14.00       | 200.00      | 2.00        | 1.00        | 2.00        | 1.50        | 200.00     
2025-12-11 00:10:30,430 | INFO | BotTrainer | Bot_221     | 0.34        | 95.88       | 0.49        | 43.00       | 6.90        | 5.00        | 21.00       | 150.00      | 2.00        | 2.00        | 1.50        | 1.00        | 150.00     
2025-12-11 00:10:30,430 | INFO | BotTrainer | Bot_95      | 0.34        | 298.13      | 0.45        | 78.00       | 6.71        | 4.00        | 14.00       | 50.00       | 2.00        | 2.00        | 2.00        | 1.00        | 50.00      
2025-12-11 00:10:30,431 | INFO | BotTrainer | Bot_108     | 0.34        | 65.04       | 0.46        | 79.00       | 16.38       | 5.00        | 14.00       | 75.00       | 2.00        | 1.00        | 2.00        | 1.50        | 75.00      
2025-12-11 00:10:30,432 | INFO | BotTrainer | Bot_169     | 0.34        | 11.95       | 0.41        | 108.00      | 13.63       | 5.00        | 21.00       | 50.00       | 2.00        | 1.00        | 1.50        | 1.00        | 50.00      
2025-12-11 00:10:30,432 | INFO | BotTrainer | Bot_63      | 0.34        | 129.43      | 0.39        | 77.00       | 8.28        | 5.00        | 8.00        | 150.00      | 2.00        | 2.00        | 2.00        | 1.00        | 150.00     
2025-12-11 00:10:30,433 | INFO | BotTrainer | Bot_240     | 0.34        | 184.53      | 0.57        | 35.00       | 3.49        | 4.00        | 21.00       | 200.00      | 2.00        | 2.00        | 2.00        | 1.50        | 200.00     
2025-12-11 00:10:30,434 | INFO | BotTrainer | Bot_277     | 0.34        | 190.27      | 0.50        | 72.00       | 8.97        | 4.00        | 50.00       | 150.00      | 2.00        | 0.50        | 1.50        | 1.00        | 150.00     
2025-12-11 00:10:30,435 | INFO | BotTrainer | Bot_106     | 0.34        | -67.10      | 0.48        | 84.00       | 22.01       | 5.00        | 14.00       | 75.00       | 2.00        | 1.00        | 1.50        | 1.50        | 75.00      
2025-12-11 00:10:30,435 | INFO | BotTrainer | Bot_198     | 0.34        | -66.47      | 0.47        | 78.00       | 18.79       | 5.00        | 21.00       | 100.00      | 2.00        | 0.50        | 1.50        | 1.50        | 100.00     
2025-12-11 00:10:30,436 | INFO | BotTrainer | Bot_228     | 0.34        | 68.39       | 0.47        | 58.00       | 12.86       | 5.00        | 21.00       | 200.00      | 2.00        | 0.00        | 2.00        | 1.50        | 200.00     
2025-12-11 00:10:30,437 | INFO | BotTrainer | Bot_75      | 0.34        | 139.82      | 0.39        | 85.00       | 16.43       | 5.00        | 8.00        | 200.00      | 2.00        | 1.00        | 2.00        | 1.00        | 200.00     
2025-12-11 00:10:30,438 | INFO | BotTrainer | Bot_234     | 0.34        | -5.83       | 0.50        | 52.00       | 13.11       | 5.00        | 21.00       | 200.00      | 2.00        | 1.00        | 1.50        | 1.50        | 200.00     
2025-12-11 00:10:30,439 | INFO | BotTrainer | Bot_73      | 0.34        | 23.32       | 0.41        | 92.00       | 17.79       | 5.00        | 8.00        | 200.00      | 2.00        | 1.00        | 1.50        | 1.00        | 200.00     
2025-12-11 00:10:30,439 | INFO | BotTrainer | Bot_69      | 0.34        | -2.26       | 0.40        | 97.00       | 17.56       | 5.00        | 8.00        | 200.00      | 2.00        | 0.50        | 1.50        | 1.00        | 200.00     
2025-12-11 00:10:30,443 | INFO | BotTrainer | Bot_236     | 0.33        | 48.53       | 0.46        | 50.00       | 10.96       | 5.00        | 21.00       | 200.00      | 2.00        | 1.00        | 2.00        | 1.50        | 200.00     
2025-12-11 00:10:30,445 | INFO | BotTrainer | Bot_71      | 0.33        | 73.44       | 0.36        | 88.00       | 12.71       | 5.00        | 8.00        | 200.00      | 2.00        | 0.50        | 2.00        | 1.00        | 200.00     
2025-12-11 00:10:30,447 | INFO | BotTrainer | Bot_238     | 0.33        | 73.65       | 0.57        | 35.00       | 3.27        | 4.00        | 21.00       | 200.00      | 2.00        | 2.00        | 1.50        | 1.50        | 200.00     
2025-12-11 00:10:30,450 | INFO | BotTrainer | Bot_21      | 0.33        | -94.64      | 0.37        | 129.00      | 16.67       | 5.00        | 8.00        | 75.00       | 2.00        | 0.50        | 1.50        | 1.00        | 75.00      
2025-12-11 00:10:30,458 | INFO | BotTrainer | Bot_146     | 0.33        | -79.02      | 0.46        | 65.00       | 17.06       | 5.00        | 14.00       | 200.00      | 2.00        | 0.00        | 1.50        | 1.50        | 200.00     
2025-12-11 00:10:30,462 | INFO | BotTrainer | Bot_72      | 0.33        | 15.19       | 0.44        | 66.00       | 14.31       | 5.00        | 8.00        | 200.00      | 2.00        | 0.50        | 2.00        | 1.50        | 200.00     
2025-12-11 00:10:30,466 | INFO | BotTrainer | Bot_155     | 0.33        | 85.25       | 0.37        | 78.00       | 12.12       | 5.00        | 14.00       | 200.00      | 2.00        | 1.00        | 2.00        | 1.00        | 200.00     
2025-12-11 00:10:30,470 | INFO | BotTrainer | Bot_65      | 0.33        | -36.57      | 0.39        | 98.00       | 19.15       | 5.00        | 8.00        | 200.00      | 2.00        | 0.00        | 1.50        | 1.00        | 200.00     
2025-12-11 00:10:30,472 | INFO | BotTrainer | Bot_74      | 0.33        | -79.44      | 0.46        | 69.00       | 20.01       | 5.00        | 8.00        | 200.00      | 2.00        | 1.00        | 1.50        | 1.50        | 200.00     
2025-12-11 00:10:30,474 | INFO | BotTrainer | Bot_100     | 0.33        | -22.72      | 0.43        | 87.00       | 21.37       | 5.00        | 14.00       | 75.00       | 2.00        | 0.00        | 2.00        | 1.50        | 75.00      
2025-12-11 00:10:30,477 | INFO | BotTrainer | Bot_154     | 0.33        | -64.58      | 0.47        | 60.00       | 16.17       | 5.00        | 14.00       | 200.00      | 2.00        | 1.00        | 1.50        | 1.50        | 200.00     
2025-12-11 00:10:30,479 | INFO | BotTrainer | Bot_64      | 0.33        | 19.96       | 0.44        | 68.00       | 16.70       | 5.00        | 8.00        | 150.00      | 2.00        | 2.00        | 2.00        | 1.50        | 150.00     
2025-12-11 00:10:30,481 | INFO | BotTrainer | Bot_180     | 0.33        | -12.48      | 0.43        | 84.00       | 20.90       | 5.00        | 21.00       | 75.00       | 2.00        | 0.00        | 2.00        | 1.50        | 75.00      
2025-12-11 00:10:30,484 | INFO | BotTrainer | Bot_70      | 0.33        | -93.24      | 0.46        | 70.00       | 19.78       | 5.00        | 8.00        | 200.00      | 2.00        | 0.50        | 1.50        | 1.50        | 200.00     
2025-12-11 00:10:30,485 | INFO | BotTrainer | Bot_279     | 0.33        | 236.35      | 0.44        | 68.00       | 8.64        | 4.00        | 50.00       | 150.00      | 2.00        | 0.50        | 2.00        | 1.00        | 150.00     
2025-12-11 00:10:30,487 | INFO | BotTrainer | Bot_290     | 0.33        | 39.58       | 0.53        | 55.00       | 4.78        | 4.00        | 50.00       | 200.00      | 2.00        | 0.00        | 1.50        | 1.50        | 200.00     
2025-12-11 00:10:30,489 | INFO | BotTrainer | Bot_68      | 0.33        | -0.04       | 0.43        | 67.00       | 14.31       | 5.00        | 8.00        | 200.00      | 2.00        | 0.00        | 2.00        | 1.50        | 200.00     
2025-12-11 00:10:30,490 | INFO | BotTrainer | Bot_152     | 0.33        | 21.03       | 0.44        | 61.00       | 15.13       | 5.00        | 14.00       | 200.00      | 2.00        | 0.50        | 2.00        | 1.50        | 200.00     
2025-12-11 00:10:30,491 | INFO | BotTrainer | Bot_66      | 0.33        | -106.85     | 0.45        | 71.00       | 21.01       | 5.00        | 8.00        | 200.00      | 2.00        | 0.00        | 1.50        | 1.50        | 200.00     
2025-12-11 00:10:30,493 | INFO | BotTrainer | Bot_13      | 0.33        | 73.24       | 0.43        | 122.00      | 11.34       | 4.00        | 8.00        | 50.00       | 2.00        | 2.00        | 1.50        | 1.00        | 50.00      
2025-12-11 00:10:30,494 | INFO | BotTrainer | Bot_121     | 0.33        | -70.39      | 0.38        | 109.00      | 21.65       | 5.00        | 14.00       | 100.00      | 2.00        | 1.00        | 1.50        | 1.00        | 100.00     
2025-12-11 00:10:30,495 | INFO | BotTrainer | Bot_222     | 0.33        | 57.07       | 0.55        | 40.00       | 6.30        | 4.00        | 21.00       | 150.00      | 2.00        | 2.00        | 1.50        | 1.50        | 150.00     
2025-12-11 00:10:30,497 | INFO | BotTrainer | Bot_17      | 0.33        | -125.77     | 0.36        | 130.00      | 19.59       | 5.00        | 8.00        | 75.00       | 2.00        | 0.00        | 1.50        | 1.00        | 75.00      
2025-12-11 00:10:30,498 | INFO | BotTrainer | Bot_160     | 0.33        | 33.89       | 0.45        | 44.00       | 12.77       | 5.00        | 14.00       | 200.00      | 2.00        | 2.00        | 2.00        | 1.50        | 200.00     
2025-12-11 00:10:30,500 | INFO | BotTrainer | Bot_153     | 0.33        | -30.45      | 0.39        | 80.00       | 14.93       | 5.00        | 14.00       | 200.00      | 2.00        | 1.00        | 1.50        | 1.00        | 200.00     
2025-12-11 00:10:30,501 | INFO | BotTrainer | Bot_280     | 0.33        | 152.25      | 0.51        | 53.00       | 12.24       | 4.00        | 50.00       | 150.00      | 2.00        | 0.50        | 2.00        | 1.50        | 150.00     
2025-12-11 00:10:30,502 | INFO | BotTrainer | Bot_196     | 0.33        | -54.28      | 0.41        | 73.00       | 16.21       | 5.00        | 21.00       | 100.00      | 2.00        | 0.00        | 2.00        | 1.50        | 100.00     
2025-12-11 00:10:30,504 | INFO | BotTrainer | Bot_80      | 0.33        | 129.66      | 0.50        | 52.00       | 8.31        | 4.00        | 8.00        | 200.00      | 2.00        | 2.00        | 2.00        | 1.50        | 200.00     
